,Country,Date,TimeStamp,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed (mph)
yellowknife,ca,12/9/2017,12/9/2017 14:00,90,85,62.46,-114.35,10.4,4.7
kodiak,us,12/9/2017,12/9/2017 13:53,90,93,57.79,-152.41,39.2,12.75
gvarv,no,12/9/2017,12/9/2017 14:20,0,51,59.39,9.17,37.4,5.82
yashalta,ru,12/9/2017,12/9/2017 14:47,24,89,46.34,42.28,36.74,9.44
taksimo,ru,12/9/2017,12/9/2017 14:47,36,23,56.34,114.88,-17.76,2.73
ostersund,se,12/9/2017,12/9/2017 14:20,75,92,63.18,14.64,26.6,2.24
lagoa,pt,12/9/2017,12/9/2017 14:47,44,93,39.05,-27.98,67.93,13.13
caravelas,br,12/9/2017,12/9/2017 14:47,88,97,-17.71,-39.25,79.58,21.63
vanimo,pg,12/9/2017,12/9/2017 14:47,68,100,-2.67,141.3,82.19,3.4
rivadavia,ar,12/9/2017,12/9/2017 14:00,0,29,-33.19,-68.46,77,11.41
estevan,ca,12/9/2017,12/9/2017 14:15,1,85,49.13,-102.98,15.8,12.75
manoharpur,in,12/9/2017,12/9/2017 14:00,0,45,27.3,75.95,68,0.94
flinders,au,12/9/2017,12/9/2017 14:00,90,93,-34.58,150.86,60.8,3.36
waipawa,nz,12/9/2017,12/9/2017 14:30,0,77,-41.41,175.52,68,13.87
aykhal,ru,12/9/2017,12/9/2017 14:47,32,37,66,111.5,-25.45,5.19
maykor,ru,12/9/2017,12/9/2017 14:47,88,83,59.01,55.88,16,13.13
dwarka,in,12/9/2017,12/9/2017 14:47,24,94,22.24,68.97,76.34,6.64
umm lajj,sa,12/9/2017,12/9/2017 14:47,0,73,25.02,37.27,74.18,4.74
huntington,us,12/9/2017,12/9/2017 14:15,1,79,38.42,-82.45,24.8,3.36
benjamin constant,br,12/9/2017,12/9/2017 14:00,40,74,-4.38,-70.03,84.2,8.05
tiznit,ma,12/9/2017,12/9/2017 14:47,0,24,29.58,-9.5,65.72,3.4
cam ranh,vn,12/9/2017,12/9/2017 14:47,68,93,11.92,109.16,73.46,14.58
barrow,us,12/9/2017,12/9/2017 13:53,1,84,71.29,-156.79,-0.41,13.87
